filename,status,disposition,actual_url,source_page,request_url,activity,chapter,slot,requested_role,shot_wanted,notes,width,height,bytes
vibrissae-01.jpg,downloaded,selected,https://img.magicpin.com/10577414_store_images_14.webp,https://magicpin.com/uae/Dubai/Dubai-Festival-City/Other/Cat-Cafe-Vibrissae-Dubai-Creek-Harbour/store/2264633,https://www.vibrissaecafe.com/book-now/dubai-creek-harbour,Cat Café Vibrissae · Creek Harbour,"Fur, feathers and scales",1,hero · candid,"calm voluntary cat interaction at the exact branch","Attributable Magicpin listing asset for the exact Creek Harbour venue; the lap-level encounter makes the strongest card lead without depicting restraint. Source WebP was converted to JPEG; subject remains clear in a centered wide crop.",800,600,434955
vibrissae-02.jpg,downloaded,selected,https://www.vibrissaecafe.com/web/image/9335-9ffae1f9/creek%20image.webp,https://www.vibrissaecafe.com/,https://www.vibrissaecafe.com/book-now/dubai-creek-harbour,Cat Café Vibrissae · Creek Harbour,"Fur, feathers and scales",2,carousel · official,"wide minimalist Creek Harbour cat lounge","Official exact-branch interior showing the lounge layout and climbing furniture. Source WebP was converted to JPEG; the room reads cleanly in a centered wide crop.",1536,1326,1338699
vibrissae-03.jpg,downloaded,selected,https://img.magicpin.com/10577414_store_images_12.webp,https://magicpin.com/uae/Dubai/Dubai-Festival-City/Other/Cat-Cafe-Vibrissae-Dubai-Creek-Harbour/store/2264633,https://www.vibrissaecafe.com/book-now/dubai-creek-harbour,Cat Café Vibrissae · Creek Harbour,"Fur, feathers and scales",3,carousel · candid,"cats investigating a sealed café drink","Attributable Magicpin listing asset for the exact Creek Harbour venue; adds a café-and-cats interaction beat without showing outside feeding. Source WebP was converted to JPEG; both cats remain visible in a centered wide crop.",800,1422,599686
vibrissae-04.jpg,downloaded,selected,https://img.magicpin.com/10577414_store_images_6.webp,https://magicpin.com/uae/Dubai/Dubai-Festival-City/Other/Cat-Cafe-Vibrissae-Dubai-Creek-Harbour/store/2264633,https://www.vibrissaecafe.com/book-now/dubai-creek-harbour,Cat Café Vibrissae · Creek Harbour,"Fur, feathers and scales",4,carousel · candid,"resident cat portrait on climbing furniture","Attributable Magicpin listing asset for the exact Creek Harbour venue; close resident portrait supplies a quiet final beat. Source WebP was converted to JPEG; the face survives a centered wide crop.",800,1067,694387
fluffin-01.jpg,downloaded,selected,https://fluffin.ae/manus-storage/IMG_9050_79cc6ea2.webp,https://fluffin.ae/gallery,https://fluffin.ae/,Fluffin Dog Café,"Fur, feathers and scales",1,hero · official,"two resident dogs at the Fluffin logo wall","Current official exact-venue gallery photograph; the paired dogs and logo make a clear identity-led card lead. Source WebP was converted to JPEG; both dogs remain prominent in a centered wide crop.",2048,1536,840903
fluffin-02.jpg,downloaded,selected,https://fluffin.ae/manus-storage/IMG_9048_a8088165.webp,https://fluffin.ae/gallery,https://fluffin.ae/,Fluffin Dog Café,"Fur, feathers and scales",2,carousel · official,"wide dog playroom with resident dogs and rest bays","Current official exact-venue gallery photograph; establishes the playroom and the dogs' separate rest areas without implying visitor interaction. Source WebP was converted to JPEG; room and dogs remain clear in a centered wide crop.",2048,1536,1434983
fluffin-03.jpg,downloaded,selected,https://fluffin.ae/manus-storage/IMG_9037_51de4989.webp,https://fluffin.ae/gallery,https://fluffin.ae/,Fluffin Dog Café,"Fur, feathers and scales",3,carousel · official,"exact Fluffin storefront at Creek Harbour","Current official exact-venue gallery photograph; storefront gives an arrival beat and confirms venue identity. Source WebP was converted to JPEG; signage remains readable in a centered wide crop.",2048,1536,2851210
fluffin-04.jpg,downloaded,selected,https://fluffin.ae/manus-storage/IMG_9040_ba95796c.webp,https://fluffin.ae/gallery,https://fluffin.ae/,Fluffin Dog Café,"Fur, feathers and scales",4,carousel · official,"café counter and pastry cases","Current official exact-venue gallery photograph; the service counter closes the sequence with a differentiated food-and-drink beat. Source WebP was converted to JPEG; counter and cases remain clear in a centered wide crop.",2048,1536,1856759
meowtropolis-01.jpg,downloaded,selected,"https://static.wixstatic.com/media/9778b8_8063bde510a6470aa1ebb6f43256037d~mv2.jpg/v1/fit/w_2000,h_2000,q_90/9778b8_8063bde510a6470aa1ebb6f43256037d~mv2.jpg",https://www.meowtropoliscatcafe.online/,https://www.meowtropoliscatcafe.online/,Meowtropolis Cat Café,"Fur, feathers and scales",1,hero · official,"cats investigating a branded café cup","Official exact-venue gallery photograph; the cats and branded cup combine animal and café context in the strongest lead. Centered wide crop keeps both cats and cup readable.",1599,2000,576311
meowtropolis-02.jpg,downloaded,selected,"https://static.wixstatic.com/media/9778b8_4bebff51e4024a33a1c3c4b5f2b5201d~mv2.jpg/v1/fit/w_2000,h_2000,q_90/9778b8_4bebff51e4024a33a1c3c4b5f2b5201d~mv2.jpg",https://www.meowtropoliscatcafe.online/,https://www.meowtropoliscatcafe.online/,Meowtropolis Cat Café,"Fur, feathers and scales",2,carousel · official,"branded interior with logo and café swing","Official exact-venue gallery photograph; establishes the distinctive JLT interior rather than repeating a cat portrait. Logo and swing remain legible in a centered wide crop.",1330,2000,445746
