filename,status,disposition,actual_url,source_page,request_url,activity,chapter,slot,requested_role,shot_wanted,notes,width,height,bytes
falconhospital-01.jpg,downloaded,selected,https://www.falconhospital.com/media/qemfsi4q/gallery-1.jpg,https://www.falconhospital.com/services/adfh-tourism/,https://www.falconhospital.com/services/adfh-tourism/abu-dhabi-falcon-hospital-tour/,Abu Dhabi Falcon Hospital,"Fur, feathers and scales",1,hero · official,the working examination room,"Exact official tourism-gallery photograph of visitors gathered around a falcon on the examination table. Promoted to the lead after centred card and wide sheet crop checks because it makes the working-clinic purpose immediately clear.",1020,600,228852
falconhospital-02.jpg,downloaded,selected,https://www.falconhospital.com/media/vezjuhm1/tourism-baner-1.jpg,https://www.falconhospital.com/services/adfh-tourism/,https://www.falconhospital.com/services/adfh-tourism/abu-dhabi-falcon-hospital-tour/,Abu Dhabi Falcon Hospital,"Fur, feathers and scales",2,carousel · official,"a second clinic angle with staff, visitor and falcon","Exact official tourism hero; panoramic examination-room context with a clinician, visitor and falcon. Kept as a secondary because its 3.2:1 composition is excellent in the sheet but too crop-sensitive for the activity lead.",1920,600,436047
falconhospital-03.jpg,downloaded,selected,https://www.falconhospital.com/media/03jj4hrs/gallery-3.jpg,https://www.falconhospital.com/services/adfh-tourism/,https://www.falconhospital.com/services/adfh-tourism/abu-dhabi-falcon-hospital-tour/,Abu Dhabi Falcon Hospital,"Fur, feathers and scales",3,carousel · official,free-flight aviary and Emirati falconry context,"Exact official tourism-gallery photograph; a falcon in flight with Emirati handlers in the garden supplies cultural and aviary context without repeating the examination room.",1020,600,421138
falconhospital-04.jpg,downloaded,selected,https://www.falconhospital.com/media/rj4hws3i/gallery-4.jpg,https://www.falconhospital.com/services/adfh-tourism/,https://www.falconhospital.com/services/adfh-tourism/abu-dhabi-falcon-hospital-tour/,Abu Dhabi Falcon Hospital,"Fur, feathers and scales",4,carousel · official,falconry museum tour,"Exact official tourism-gallery photograph; a guide addresses visitors inside the falconry museum, completing the tour story with cultural interpretation rather than another holding portrait.",1020,600,252580
rasalkhor-01.jpg,downloaded,selected,https://upload.wikimedia.org/wikipedia/commons/6/60/Ras_Al_Khor_Wildlife_Sanctuary_with_Dubai_Skyline.jpg,https://commons.wikimedia.org/wiki/File:Ras_Al_Khor_Wildlife_Sanctuary_with_Dubai_Skyline.jpg,https://www.dm.gov.ae/dubai-protected-areas/plan-your-visit/,Ras Al Khor Wildlife Sanctuary,"Fur, feathers and scales",1,hero · exact site,wetland and birds against the Dubai skyline,"Exact-site Wikimedia Commons photograph by Florian Kriechbaumer, CC BY-SA 4.0; the wetland, scattered flamingos and Downtown skyline establish the defining city-and-wildlife contrast. Resized locally to a 2000 px long edge.",2000,1336,669910
rasalkhor-02.jpg,downloaded,selected,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Bird_watch_hideouts.JPG/1920px-Bird_watch_hideouts.JPG,https://commons.wikimedia.org/wiki/File:Bird_watch_hideouts.JPG,https://www.dm.gov.ae/dubai-protected-areas/plan-your-visit/,Ras Al Khor Wildlife Sanctuary,"Fur, feathers and scales",2,carousel · exact site,the actual bird-watching hide,"Exact-site Wikimedia Commons photograph by Vicharam, available under CC BY-SA 3.0 or GFDL; the hide exterior and flamingos show the real low-key visitor infrastructure rather than a generic bird reserve.",1920,1440,920108
rasalkhor-03.jpg,downloaded,selected,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/A_Flamingo_In_Ra%27s_Al_Khor_Wildlife_Sanctuary.jpg/3840px-A_Flamingo_In_Ra%27s_Al_Khor_Wildlife_Sanctuary.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:A_Flamingo_In_Ra%27s_Al_Khor_Wildlife_Sanctuary.jpg,https://www.dm.gov.ae/dubai-protected-areas/plan-your-visit/,Ras Al Khor Wildlife Sanctuary,"Fur, feathers and scales",3,carousel · exact site,a close wild flamingo in the lagoon,"Exact-site Wikimedia Commons photograph by Chuck202, CC BY-SA 4.0; a single wild flamingo and its reflection provide a crisp intimate counterpoint. The 3840 px source rendition was resized locally to a 2000 px long edge and passed centred card and sheet crop checks.",2000,1333,733540
rasalkhor-04.jpg,downloaded,selected,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flamingos_at_the_Ras_Al_Khor_Wildlife_Sanctuary%2C_Dubai.jpg/3840px-Flamingos_at_the_Ras_Al_Khor_Wildlife_Sanctuary%2C_Dubai.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,https://commons.wikimedia.org/wiki/File:Flamingos_at_the_Ras_Al_Khor_Wildlife_Sanctuary%2C_Dubai.jpg,https://www.dm.gov.ae/dubai-protected-areas/plan-your-visit/,Ras Al Khor Wildlife Sanctuary,"Fur, feathers and scales",4,carousel · exact site,a dense flock feeding together,"Exact-site Wikimedia Commons photograph by Iwona Rege, CC BY-SA 4.0; the dense flock is visually distinct from the skyline, hide and single-bird frames. A soft 900 px official image was rejected in favour of this 3840 px source, then resized locally to 2000 px and crop-checked.",2000,1333,1586935
turtlerehab-01.jpg,downloaded,selected,https://cdn.jumeirah.com/-/mediadh/dh/hospitality/jumeirah/article/stories/dubai/in-conversation-with-dubais-turtle-conservationist/jumeirah-al-naseem--turtle-rehabilitation--lagoon.jpg?h=1080&revision=ea195f27-47d8-483e-b099-33efb2bdae6f&w=1620,https://www.jumeirah.com/en/article/stories/dubai/in-conversation-with-dubais-pioneering-turtle-conservationist,https://mediahub.jumeirah.com/the-way-back-to-water/?lang=eng,Dubai Turtle Rehabilitation Project,"Fur, feathers and scales",1,hero · official,rehabilitating turtle in the public lagoon,"Exact official Jumeirah Al Naseem lagoon photograph; a close turtle at the surface leads with what an ordinary visitor can actually see, not an occasional release event.",1620,1080,307286
turtlerehab-02.jpg,downloaded,selected,https://cdn.jumeirah.com/-/mediadh/dh/hospitality/jumeirah/article/stories/dubai/immerse-yourself-in-the-world-of-ocean-conservation/hero-turtle.jpg?h=1080&modified=20240703164841&w=1620,https://www.jumeirah.com/en/article/stories/dubai/immerse-yourself-in-the-world-of-ocean-conservation,https://mediahub.jumeirah.com/the-way-back-to-water/?lang=eng,Dubai Turtle Rehabilitation Project,"Fur, feathers and scales",2,carousel · official,visitors observing a turtle in the lagoon,"Exact official Jumeirah visitor-context photograph; a family watches a surfacing turtle from the public edge, making the normal visit legible and differentiating it from the wildlife close-up.",1620,1080,515615
turtlerehab-03.jpg,downloaded,selected,https://cdn.jumeirah.com/-/mediadh/dh/hospitality/jumeirah/article/stories/global/unforgettable-eco-friendly-experiences-at-jumeirah-hotels-and-resorts/dubai-turtle-rehabilitation-project-content.jpg?modified=20240109123613,https://www.jumeirah.com/en/article/stories/global/unforgettable-eco-friendly-experiences-at-jumeirah-hotels-and-resorts,https://mediahub.jumeirah.com/the-way-back-to-water/?lang=eng,Dubai Turtle Rehabilitation Project,"Fur, feathers and scales",3,carousel · official,several turtles in the sea-fed lagoon,"Exact official Jumeirah project photograph; several rehabilitating turtles together establish the clear lagoon habitat while staying within the ordinary public-visit story.",1920,1080,402224
